X,Y,Name
117.88810931036,34.3952698315166,Pizhou
118.274829695882,33.9630743689,Suqian
119.104000943226,33.5576706605976,Huai'an
119.104000943226,33.5576706605976,Huai'an
113.44048457,24.72085893,Mangi
119.307267074281,33.2353697385201,Baoying
119.432978841018,32.7847083387736,Gaoyou
119.91962993573,32.447470309441,"Taizhou, Jiangsu"
120.883689633032,31.9812281390403,Nantong
119.433304743579,32.3912161423496,Yangzhou
117.104881265485,30.5324849135673,Anqing
112.121091722505,32.0124253914344,Xiangyang
119.177655144744,32.2575640753617,Yizheng
119.387319443863,32.2494787670021,Guazhou
119.440532245973,32.2097469869803,Zhenjiang
119.967698676778,31.8201515652101,Changzhou
98.514404296875,39.7325379843817,Suzhou
120.64519222058,31.1386947061545,Suzhou/Wujiang
